"branded_food_category","avg_protein_g","avg_fat_g","avg_carbs_g","avg_calories","avg_sugar_g","total_products"
"Includes any products that can be described/observed as a pastry, biscuit or crumble based product filled or topped with a mixture of shredded/sliced savoury ingredients, commonly including meat, vegetables, eggs or other additive. Products must be frozen to extend their consumable life. Excludes products such as Perishable and Shelf Stable Savoury Pies, Pastries, Pizzas and Quiches, Sweet Pies/Tarts, and Potato Topped Meat Pies.","0.3","0.4","0.84","8.15","0.03","155"
"Children's Nutritional Supplements","0.49","0.22","1.07","7.86","0.71","1170"
"Other Drinks","0.22","0.14","1.44","7.81","1.12","213252"
"Cereals Products - Not Ready to Eat (Shelf Stable)","0.5","0.3","2.31","7.79","0.81","568"
"Vegetables - Unprepared/Unprocessed (Shelf Stable)","0.61","0.07","1.99","7.78","0.16","184"
"Pasta/Noodles","0.37","0.25","1.53","7.73","0.15","14510"
"Fish Substitutes","0.67","0.49","0.79","7.64","0.22","151"
"Other Sauces Dipping/Condiments/Savoury Toppings/Savoury Spreads/Marinades (Frozen)","0.07","0.02","1.7","7.61","1.46","67"
"Breakfast Drinks","0.46","0.08","1.26","7.56","0.81","10381"
"Ready-Made Combination Meals - Not Ready to Eat (Frozen)","0.3","0.22","1.11","7.52","0.56","61"
"Tea Bags","0.19","0.11","2.33","7.49","0.77","43623"
"Chili & Stew","0.37","0.29","0.85","7.41","0.18","70745"
"Beef - Prepared/Processed","0.82","0.69","0.31","7.39","0.11","61"
"Prepared Pasta & Pizza Sauces","0.16","0.49","0.58","7.19","0.32","216883"
"Chicken - Unprepared/Unprocessed","1.33","0.18","0.01","7.1","0.0","165"
"Canned & Bottled Beans","0.39","0.06","1.21","6.83","0.16","197269"
"Prepared/Preserved Foods Variety Packs","0.3","0.4","0.97","6.72","0.42","8121"
"Frozen Fruit","0.12","0.07","1.18","6.64","1.05","73"
"Ready-Made Combination Meals","0.39","0.34","0.95","6.62","0.19","16484"
